Material,Mean,Std Dev,Max,Min,RMS,Skewness,Kurtosis,Peak Freq,Spectral Entropy
steel,0.00043407599264388557,0.7919274737193764,3.043026129086968,-3.9630730709382944,0.7919275926835235,-0.1517748228588117,0.7382812421363707,9338.378906249998,3.9642084452991107
steel,-3.2937237612011955e-05,0.7289040762593708,3.043026129086968,-2.9609311135572205,0.7289040770035439,-0.1325644653096382,0.6883063109617584,9338.378906249998,4.536839891735497
steel,2.201540904969621e-05,0.6305249357057818,2.2633490368223415,-2.8540553589320954,0.6305249360901268,-0.22810351510970256,1.0514924580684157,9338.378906249998,4.537805448613926
steel,-8.843350609627502e-05,0.5937970321667023,2.4294226833552504,-2.7798366049511434,0.5937970387518523,-0.3346548951788075,1.338357676560653,9338.378906249998,4.646459331223767
steel,2.4004852283045742e-05,0.6940628974634653,2.504764635065793,-3.22000318365607,0.6940628978785811,-0.22368215856961915,0.9352414362073125,9338.378906249998,4.434448381995878
steel,8.113718593207145e-05,0.762609389150139,2.8679383834832812,-3.5036497395747968,0.7626093934664003,-0.12019195106418516,0.7899350193867778,9338.378906249998,4.4763948058906875
steel,-4.95410662609427e-05,0.7446588444471985,2.8679383834832812,-3.5036497395747968,0.744658846095146,-0.10914254594063647,0.7361087187984263,9338.378906249998,4.428989465666865
steel,6.019907198994368e-07,0.6250501019431914,2.285625282103108,-2.981915572458049,0.6250501019434813,-0.2066503456823471,1.1812861011442903,9338.378906249998,4.704360574601715
steel,2.049408603519276e-05,0.5959688182825695,2.4584966991379917,-2.981915572458049,0.5959688186349433,-0.36222724256129624,1.5113935589990355,9338.378906249998,4.70856215291093
steel,-3.0952473095430654e-05,0.7560163484236662,2.8935063812586983,-4.0518126005793285,0.7560163490572872,-0.2822681340035832,1.0712948755085083,9338.378906249998,4.105392913416277
steel,-7.049754660788388e-08,0.8054144761562624,2.8935063812586983,-4.0518126005793285,0.8054144761562654,-0.1980145424960472,0.8559539580716318,9338.378906249998,4.087287271984871
steel,2.0324668559425808e-05,0.6872501571207957,2.798323760728046,-3.4820356742239973,0.6872501574213356,-0.20910464031023743,1.25261142939073,9338.378906249998,4.556020277428288
steel,6.409909266457181e-06,0.5823467945969483,2.4576345710477736,-3.1725311303064174,0.5823467946322253,-0.2709166115965331,1.5014833102703289,9338.378906249998,4.690318492902973
steel,-5.618146119503411e-05,0.6027002175325177,2.1874974397404596,-2.8570360579976892,0.6027002201510306,-0.2400743795891441,1.2471593054860035,9326.171874999998,4.7256849531227445
steel,2.2785649234544258e-05,0.729727373473678,2.3503642718715967,-3.446116705477994,0.7297273738294175,-0.20483270976714424,0.721611001929737,9338.378906249998,4.321161348331129
steel,7.996528245713717e-05,0.7939439213117901,2.926083760791529,-3.446116705477994,0.7939439253388041,-0.12356191559263988,0.6557526326845085,9338.378906249998,4.220349255313335
steel,-5.505419275602996e-07,0.7308041894603985,2.926083760791529,-3.3644247483382292,0.7308041894606059,-0.12078460209521565,0.9947308412561018,9338.378906249998,4.667868511044297
steel,2.0869127904411176e-05,0.6114468162278592,2.5651210329037095,-2.799579141731683,0.6114468165839985,-0.2151394719896903,1.3811222614694332,9338.378906249998,4.661759296973158
steel,-5.137921056396488e-05,0.6243500718108872,2.356550741067738,-3.0091142072008163,0.6243500739249441,-0.40433277861540384,1.6593973676447584,9338.378906249998,4.841888010069503
steel,-2.800239432209728e-05,0.7787832065623898,3.164810553417289,-3.1471108842990505,0.7787832070658252,-0.23481253057404552,0.7101787768956034,9338.378906249998,4.073310523909637
steel,-8.556005970475566e-06,0.8133365055584738,3.4687708130162718,-3.576944014753344,0.8133365056034769,-0.07645655205932486,0.5902181643333653,9338.378906249998,4.092692211260169
steel,-2.426101547506736e-05,0.7265629551943419,3.4687708130162718,-3.576944014753344,0.7265629555993974,-0.12072896331180857,1.0936773281296688,9338.378906249998,4.650381106278757
steel,7.965419669903238e-05,0.6337568007144497,3.0815394875488757,-2.801835481764579,0.6337568057201483,-0.28264896976138454,1.5062649016444425,9338.378906249998,4.702759099912909
steel,5.7660991622425374e-05,0.6428637988687356,2.3905665002637395,-2.84977800471674,0.6428638014546565,-0.2934524931620615,1.3819162758905579,9338.378906249998,4.657390967623881
