,Mean,Std Dev,Max,Min,Skewness,Kurtosis
steel,-7.86941888542171e-07,0.6999944463560949,3.4924228369467167,-4.0518126005793285,-0.19963374901875125,1.101036953132378
roasted_steel,-4.487105138860102e-06,0.7396079035165066,3.609462049078571,-4.092348104426046,-0.32231939989901587,1.172698990742414
aluminum,-7.738019423650039e-06,0.8559682322687058,4.7652692555356095,-4.129284037994573,-0.09285798967507841,0.6000569769938928
brass,3.0481169394247483e-06,0.7338204710439387,3.348467273475849,-3.777554659467089,-0.08615989894532466,0.6687021101593897
